#,Years,Price,Model,Mileage,Condition,Usage Type,Owner#,Location
77,2015,14995,Prius Four,85773,"Accident check
1Accident reported",Personal,1.0,CA
79,2016,20995,Prius Two FWD,40868,"Accident check
No issues reported",Personal,1.0,NY
80,2010,12990,Prius Four,62307,"Accident check
1Accident reported",Personal,2.0,GA
81,2017,20921,Prius Four FWD,34909,"Accident check
1Accident reported",Personal,1.0,CA
82,2015,15995,Prius Persona Series,89335,"Accident check
No issues reported",Personal,3.0,NV
83,2019,23997,Prius LE FWD,29825,"Accident check
1Accident reported",Commercial,2.0,MA
84,2012,9999,Prius,132301,"Accident check
No issues reported",Commercial,2.0,CA
85,2015,10499,Prius Two,165930,"Accident check
No issues reported",Personal,1.0,CA
86,2018,22699,Prius Two FWD,24500,"Accident check
No issues reported",Commercial,1.0,CT
87,2018,17500,Prius Two FWD,108903,"Accident check
No issues reported",Personal,2.0,GA
88,2021,29000,Prius 2020 Edition FWD,7977,"Accident check
No issues reported",Personal,1.0,OK
89,2010,7900,Prius Three,144663,"Accident check
No issues reported",Personal,1.0,VA
90,2016,18350,Prius Two FWD,85265,"Accident check
No issues reported",Personal,2.0,CA
91,2021,33980,Prius XLE AWD-e,4945,"Accident check
No issues reported",Personal,2.0,WA
92,2010,9000,Prius,130700,"Accident check
No issues reported",Commercial,2.0,CA
93,2019,25999,Prius LE FWD,17560,"Accident check
No issues reported",Personal,1.0,CA
94,2007,6900,Prius,97212,"Accident check
1Accident reported",Personal,2.0,CO
95,2010,10699,Prius Five,97676,"Accident check
No issues reported",Personal,2.0,CA
96,2008,4499,Prius Touring FWD,163535,"Accident check
1Accident reported",Personal,2.0,CA
97,2012,10700,Prius,107401,"Accident check
No issues reported",Personal,2.0,IN
98,2010,10499,Prius Four,112551,"Accident check
No issues reported",Personal,2.0,CA
99,2019,21581,Prius LE FWD,68816,"Accident check
1Accident reported",Personal,2.0,CA
101,2017,20997,Prius Two FWD,62357,"Accident check
No issues reported",Personal,2.0,IN
102,2018,21197,Prius Two FWD,36725,"Accident check
1Accident reported",Commercial,2.0,MA
103,2016,16994,Prius Two FWD,91020,"Accident check
No issues reported",Personal,1.0,MT
104,2014,10999,Prius Two,127371,"Accident check
No issues reported",Personal,2.0,FL
105,2009,7500,Prius FWD,120000,"Accident check
No issues reported",Personal,2.0,NM
106,2021,27900,Prius L Eco FWD,1353,"Accident check
No issues reported",Personal,1.0,IL
107,2015,16900,Prius One,57523,"Accident check
2Accidents reported",Personal,1.0,CT
108,2007,2998,Prius Touring FWD,235613,"Accident check
No issues reported",Personal,1.0,TX
109,2016,18500,Prius Two FWD,69559,"Accident check
No issues reported",Personal,2.0,PA
110,2010,4500,Prius,218000,"Accident check
No issues reported",Personal,2.0,NC
111,2007,6500,Prius Touring FWD,131940,"Accident check
No issues reported",Personal,2.0,FL
112,2010,7988,Prius,137746,"Accident check
No issues reported",Commercial,1.0,NC
113,2021,28989,Prius LE FWD,3507,"Accident check
1Accident reported",Commercial,2.0,CA
114,2015,17991,Prius Persona Series,69805,"Accident check
No issues reported",Personal,1.0,OR
115,2014,9999,Prius Three,150000,"Accident check
No issues reported",Commercial,5.0,CA
116,2007,4500,Prius,172139,"Accident check
No issues reported",Personal,2.0,IL
117,2011,8885,Prius Two,130297,"Accident check
No issues reported",Personal,1.0,CA
118,2018,26398,Prius Four FWD,19131,"Accident check
No issues reported",Personal,1.0,CA
119,2010,9899,Prius Four,110897,"Accident check
No issues reported",Personal,2.0,CA
120,2018,26599,Prius Four FWD,35410,"Accident check
1Accident reported",Personal,2.0,CA
121,2010,7295,Prius,146246,"Accident check
No issues reported",Personal,2.0,NJ
122,2013,14000,Prius,98959,"Accident check
No issues reported",Personal,2.0,CO
123,2009,5995,Prius,154220,"Accident check
No issues reported",Commercial,4.0,GA
124,2007,4550,Prius,189000,"Accident check
1Accident reported",Personal,2.0,AZ
125,2010,8995,Prius,127843,"Accident check
1Accident reported",Personal,3.0,WA
126,2015,18789,Prius Persona Series,46557,"Accident check
No issues reported",Personal,3.0,GA
127,2011,9990,Prius Three,137082,"Accident check
No issues reported",Commercial,4.0,OR
128,2012,8400,Prius Two,153342,"Accident check
No issues reported",Personal,3.0,PA
129,2016,21591,Prius Two FWD,29080,"Accident check
No issues reported",Personal,1.0,FL
130,2010,5995,Prius,198409,"Accident check
No issues reported",Personal,4.0,MS
131,2016,18880,Prius Three Touring FWD,93455,"Accident check
No issues reported",Personal,3.0,WA
132,2008,5499,Prius,184700,"Accident check
1Accident reported",Personal,2.0,WA
133,2015,17895,Prius Three,71659,"Accident check
No issues reported",Personal,2.0,WA
134,2010,9699,Prius Four,129553,"Accident check
No issues reported",Personal,1.0,CA
135,2015,14800,Prius Two,112217,"Accident check
No issues reported",Personal,3.0,CA
136,2017,15999,Prius Three FWD,126918,"Accident check
No issues reported",Personal,1.0,CA
137,2010,10999,Prius,112891,"Accident check
No issues reported",Personal,1.0,WA
138,2021,27950,Prius L Eco FWD,9279,"Accident check
No issues reported",Personal,1.0,NC
139,2014,14995,Prius Five,67707,"Accident check
No issues reported",Personal,1.0,OH
140,2010,7500,Prius,130664,"Accident check
No issues reported",Commercial,2.0,VA
141,2010,8500,Prius,130000,"Accident check
No issues reported",Personal,2.0,PA
142,2007,4300,Prius FWD,163880,"Accident check
No issues reported",Personal,2.0,FL
143,2016,17977,Prius Two FWD,74104,"Accident check
No issues reported",Personal,1.0,NY
144,2007,2900,Prius,229256,"Accident check
No issues reported",Personal,3.0,VA
145,2015,14995,Prius Persona Series,84094,"Accident check
1Accident reported",Personal,1.0,NY
146,2012,14998,Prius Four,82131,"Accident check
No issues reported",Personal,1.0,CA
147,2013,7999,Prius,185334,"Accident check
No issues reported",Personal,2.0,NC
148,2016,19950,Prius Four FWD,65656,"Accident check
No issues reported",Personal,2.0,CA
149,2005,4995,Prius FWD,156244,"Accident check
No issues reported",Personal,2.0,CO
150,2010,13479,Prius Four,40000,"Accident check
1Accident reported",Personal,1.0,CA
151,2016,19954,Prius Three FWD,49976,"Accident check
No issues reported",Personal,1.0,NE
152,2021,29999,Prius 2020 Edition FWD,14907,"Accident check
No issues reported",Commercial,1.0,CA
153,2010,6595,Prius One,176115,"Accident check
No issues reported",Personal,2.0,TX
154,2018,22995,Prius Two FWD,25180,"Accident check
No issues reported",Personal,1.0,NY
155,2012,16999,Prius Four,44876,"Accident check
No issues reported",Personal,1.0,CA
156,2017,20999,Prius Two FWD,48727,"Accident check
1Accident reported",Personal,1.0,AL
157,2010,9999,Prius,116442,"Accident check
No issues reported",Personal,2.0,OR
158,2010,7950,Prius,148658,"Accident check
No issues reported",Personal,3.0,CA
159,2016,19997,Prius Four FWD,61073,"Accident check
No issues reported",Personal,1.0,SC
160,2016,19950,Prius Two FWD,67533,"Accident check
No issues reported",Commercial,4.0,CA
161,2005,6495,Prius FWD,78500,"Accident check
1Accident reported",Personal,4.0,CA
162,2010,6999,Prius,170930,"Accident check
No issues reported",Commercial,4.0,NC
163,2018,22998,Prius Two FWD,51978,"Accident check
No issues reported",Personal,1.0,CO
164,2015,19995,Prius Two,21283,"Accident check
No issues reported",Personal,1.0,NY
165,2016,19995,Prius Two FWD,59156,"Accident check
No issues reported",Personal,4.0,IL
166,2009,8999,Prius,91048,"Accident check
No issues reported",Personal,2.0,IA
167,2020,28662,Prius LE FWD,16479,"Accident check
No issues reported",Personal,1.0,PA
168,2018,21249,Prius Two FWD,51237,"Accident check
No issues reported",Commercial,2.0,FL
169,2020,31500,Prius XLE AWD-e,8493,"Accident check
No issues reported",Personal,1.0,IN
170,2015,15080,Prius,115394,"Accident check
No issues reported",Personal,2.0,WA
171,2010,6699,Prius,178025,"Accident check
1Accident reported",Personal,1.0,MA
172,2018,18459,Prius One FWD,102915,"Accident check
No issues reported",Personal,1.0,NC
173,2016,18995,Prius Two FWD,76628,"Accident check
No issues reported",Personal,1.0,MA
174,2007,4250,Prius FWD,159541,"Accident check
No issues reported",Personal,1.0,GA
175,2019,26995,Prius L Eco FWD,27131,"Accident check
1Accident reported",Commercial,2.0,WA
176,2015,19000,Prius Persona Series,61720,"Accident check
No issues reported",Personal,2.0,CA
177,2013,14700,Prius Three,54365,"Accident check
No issues reported",Personal,1.0,MD
178,2015,17500,Prius Four,81583,"Accident check
No issues reported",Personal,1.0,CA
179,2007,4990,Prius Touring FWD,152545,"Accident check
2Accidents reported",Personal,4.0,MI
180,2015,12500,Prius Two,144109,"Accident check
No issues reported",Personal,2.0,WA
181,2013,7499,Prius,182029,"Accident check
No issues reported",Personal,2.0,OK
182,2018,19995,Prius Four FWD,102348,"Accident check
No issues reported",Personal,1.0,IL
183,2021,30791,Prius 2020 Edition FWD,12535,"Accident check
No issues reported",Personal,1.0,WA
184,2008,7995,Prius Touring FWD,71216,"Accident check
No issues reported",Personal,2.0,NY
185,2020,28999,Prius XLE AWD-e,41155,"Accident check
No issues reported",Personal,1.0,VA
186,2021,30484,Prius LE AWD-e,13264,"Accident check
No issues reported",Personal,1.0,NM
