#,Years,Price,Model,Mileage,Condition,Usage Type,Owner#,Location
344,2006,6285,Prius FWD,132466,"Accident check
No issues reported",Personal,2.0,GA
345,2015,15975,Prius Two,69567,"Accident check
2Accidents reported",Commercial,2.0,MA
346,2006,6495,Prius FWD,119880,"Accident check
No issues reported",Personal,4.0,NJ
347,2019,23595,Prius L Eco FWD,47474,"Accident check
No issues reported",Personal,1.0,UT
348,2007,6450,Prius,151910,"Accident check
No issues reported",Personal,2.0,OH
349,2016,18741,Prius Two Eco FWD,77086,"Accident check
1Accident reported",Personal,2.0,CA
350,2013,7195,Prius,190110,"Accident check
No issues reported",Personal,1.0,TX
351,2016,18950,Prius Four FWD,90039,"Accident check
No issues reported",Personal,1.0,CA
352,2016,18491,Prius Two FWD,74199,"Accident check
1Accident reported",Commercial,1.0,CA
353,2009,5495,Prius Liftback FWD,174000,"Accident check
No issues reported",Personal,1.0,CA
354,2015,17584,Prius Persona Series,86998,"Accident check
No issues reported",Personal,2.0,WA
355,2015,14998,Prius Two,125000,"Accident check
No issues reported",Personal,1.0,CA
356,2004,3500,Prius FWD,215810,"Accident check
1Accident reported",Personal,2.0,VA
357,2010,8563,Prius,166910,"Accident check
No issues reported",Personal,2.0,WA
358,2015,15998,Prius Two,91669,"Accident check
No issues reported",Personal,2.0,NE
359,2016,15495,Prius Two FWD,116301,"Accident check
1Accident reported",Personal,1.0,AZ
360,2015,15000,Prius One,110215,"Accident check
No issues reported",Personal,3.0,VA
361,2008,6499,Prius,165211,"Accident check
No issues reported",Personal,1.0,CA
362,2010,10995,Prius,107823,"Accident check
No issues reported",Personal,1.0,CA
363,2021,28976,Prius L Eco FWD,10441,"Accident check
No issues reported",Personal,1.0,CA
365,2017,19991,Prius Two FWD,74380,"Accident check
No issues reported",Personal,1.0,MT
366,2014,11200,Prius Four,131063,"Accident check
No issues reported",Personal,1.0,MO
367,2012,8950,Prius Four,167773,"Accident check
No issues reported",Personal,2.0,NC
368,2018,23500,Prius Three FWD,59927,"Accident check
No issues reported",Personal,1.0,IN
369,2015,19199,Prius Four,36734,"Accident check
No issues reported",Commercial,1.0,CA
370,2018,24500,Prius Two FWD,34870,"Accident check
No issues reported",Personal,1.0,IL
371,2015,18250,Prius Persona Series,82841,"Accident check
No issues reported",Personal,2.0,CA
373,2015,10995,Prius Two,143689,"Accident check
No issues reported",Personal,1.0,FL
374,2015,14495,Prius Two,97034,"Accident check
1Accident reported",Personal,2.0,NJ
375,2016,19995,Prius,62570,"Accident check
No issues reported",Personal,1.0,ID
376,2008,5750,Prius,160135,"Accident check
No issues reported",Personal,2.0,GA
377,2015,17970,Prius Three,70247,"Accident check
No issues reported",Personal,1.0,NY
378,2015,18500,Prius Persona Series,60807,"Accident check
No issues reported",Personal,2.0,AZ
379,2014,10350,Prius Four,130000,"Accident check
No issues reported",Commercial,3.0,FL
380,2010,13895,Prius Four,78674,"Accident check
No issues reported",Personal,1.0,CA
381,2017,20000,Prius Three FWD,88536,"Accident check
No issues reported",Personal,1.0,IN
382,2002,7800,Prius FWD,38282,"Accident check
No issues reported",Personal,2.0,CA
383,2010,8499,Prius,141500,"Accident check
No issues reported",Personal,2.0,FL
384,2011,9841,Prius,96043,"Accident check
1Accident reported",Personal,2.0,OH
386,2013,10798,Prius,137132,"Accident check
1Accident reported",Personal,2.0,GA
387,2017,21964,Prius Two FWD,54399,"Accident check
No issues reported",Personal,1.0,NC
388,2010,8999,Prius,123220,"Accident check
1Accident reported",Personal,2.0,SC
389,2008,5995,Prius Touring FWD,142508,"Accident check
No issues reported",Personal,2.0,FL
390,2016,16995,Prius Three FWD,95692,"Accident check
No issues reported",Personal,3.0,TX
391,2011,5450,Prius Two,213718,"Accident check
2Accidents reported",Personal,2.0,CO
392,2007,6380,Prius,135980,"Accident check
No issues reported",Personal,1.0,CT
393,2014,13981,Prius Three,97719,"Accident check
No issues reported",Personal,2.0,TX
394,2013,10999,Prius Two,135822,"Accident check
No issues reported",Personal,1.0,CO
395,2011,11000,Prius Two,100745,"Accident check
1Accident reported",Personal,2.0,CO
396,2016,19800,Prius Two FWD,51027,"Accident check
No issues reported",Personal,1.0,TN
397,2015,17490,Prius Three,70100,"Accident check
No issues reported",Personal,2.0,TX
398,2010,7699,Prius,162819,"Accident check
No issues reported",Personal,1.0,MA
399,2017,21505,Prius Three FWD,80864,"Accident check
No issues reported",Personal,1.0,WA
400,2008,8587,Prius Touring FWD,100930,"Accident check
No issues reported",Personal,1.0,OR
401,2017,17286,Prius Three FWD,114060,"Accident check
No issues reported",Personal,1.0,PA
402,2010,3700,Prius,271000,"Accident check
No issues reported",Personal,4.0,MN
403,2018,15500,Prius Two FWD,158233,"Accident check
No issues reported",Personal,1.0,UT
404,2010,8997,Prius,128456,"Accident check
No issues reported",Personal,1.0,GA
405,2021,31496,Prius 2020 Edition FWD,10825,"Accident check
1Accident reported",Personal,1.0,MN
406,2010,5490,Prius,201000,"Accident check
1Accident reported",Personal,3.0,VA
407,2006,7990,Prius FWD,130070,"Accident check
No issues reported",Commercial,2.0,CA
408,2010,10991,Prius,101280,"Accident check
No issues reported",Personal,4.0,CA
409,2016,15499,Prius Two Eco FWD,117650,"Accident check
No issues reported",Commercial,2.0,AZ
410,2018,21736,Prius Two FWD,63366,"Accident check
No issues reported",Personal,1.0,GA
411,2014,11898,Prius,124795,"Accident check
1Accident reported",Personal,2.0,NC
412,2011,9995,Prius,138638,"Accident check
No issues reported",Personal,2.0,SC
413,2010,11495,Prius,89041,"Accident check
No issues reported",Personal,5.0,CA
414,2010,10995,Prius,97100,"Accident check
No issues reported",Personal,2.0,MO
415,2010,8650,Prius,141367,"Accident check
No issues reported",Personal,2.0,CA
416,2007,6999,Prius Touring FWD,154863,"Accident check
No issues reported",Personal,2.0,WA
417,2005,3995,Prius FWD,199368,"Accident check
2Accidents reported",Personal,2.0,KY
418,2015,20944,Prius Two,19210,"Accident check
No issues reported",Personal,1.0,MI
419,2020,24999,Prius LE AWD-e,43047,"Accident check
1Accident reported",Commercial,1.0,FL
420,2013,15598,Prius,72270,"Accident check
No issues reported",Personal,3.0,CA
421,2010,9499,Prius,122500,"Accident check
No issues reported",Personal,2.0,CA
422,2013,11995,Prius,104558,"Accident check
1Accident reported",Personal,1.0,FL
423,2011,10995,Prius,92697,"Accident check
No issues reported",Personal,3.0,GA
424,2013,9950,Prius,149306,"Accident check
No issues reported",Commercial,2.0,NC
425,2015,16597,Prius Two,86886,"Accident check
No issues reported",Commercial,2.0,AZ
426,2004,6499,Prius FWD,129100,"Accident check
No issues reported",Personal,3.0,WA
427,2010,7950,Prius,147000,"Accident check
No issues reported",Personal,4.0,TX
428,2005,3995,Prius FWD,215000,"Accident check
No issues reported",Personal,2.0,IA
429,2017,22749,Prius Two Eco FWD,51853,"Accident check
No issues reported",Personal,1.0,WA
430,2011,12999,Prius Two,65241,"Accident check
No issues reported",Personal,1.0,CO
431,2018,17995,Prius Four FWD,130447,"Accident check
No issues reported",Personal,1.0,WA
432,2007,5999,Prius Touring FWD,181874,"Accident check
No issues reported",Personal,4.0,WA
433,2016,19995,Prius Three FWD,72809,"Accident check
No issues reported",Personal,2.0,OH
434,2015,20599,Prius Four,37275,"Accident check
No issues reported",Personal,1.0,CA
435,2007,6500,Prius Touring FWD,160859,"Accident check
No issues reported",Personal,2.0,MO
436,2018,29391,Prius Four FWD,17311,"Accident check
No issues reported",Personal,1.0,CA
437,2019,25500,Prius L Eco FWD,45960,"Accident check
No issues reported",Personal,1.0,MO
439,2015,14950,Prius Three,109895,"Accident check
No issues reported",Personal,3.0,CA
440,2012,9537,Prius Three,135000,"Accident check
No issues reported",Personal,2.0,OH
441,2017,20997,Prius Two FWD,77952,"Accident check
No issues reported",Personal,1.0,NC
442,2015,11899,Prius Two,136020,"Accident check
1Accident reported",Personal,2.0,CA
443,2008,6890,Prius,122293,"Accident check
No issues reported",Personal,3.0,CT
444,2016,16991,Prius Two FWD,104128,"Accident check
No issues reported",Personal,1.0,MD
445,2006,6495,Prius FWD,142730,"Accident check
No issues reported",Personal,2.0,SC
446,2010,8598,Prius,162657,"Accident check
No issues reported",Personal,2.0,CO
447,2009,7950,Prius Touring FWD,107644,"Accident check
No issues reported",Personal,1.0,VA
448,2019,26764,Prius L Eco FWD,29324,"Accident check
No issues reported",Personal,1.0,IN
449,2021,31095,Prius 2020 Edition FWD,16735,"Accident check
No issues reported",Personal,1.0,CA
450,2016,17999,Prius Two FWD,97425,"Accident check
No issues reported",Commercial,2.0,CA
451,2018,25495,Prius,49363,"Accident check
No issues reported",Personal,1.0,CA
452,2015,17500,Prius Persona Series,82096,"Accident check
No issues reported",Personal,1.0,NV
453,2015,18950,Prius Persona Series,61767,"Accident check
No issues reported",Personal,1.0,CA
454,2007,5750,Prius Touring FWD,170570,"Accident check
No issues reported",Personal,2.0,CA
455,2010,8500,Prius,142000,"Accident check
1Accident reported",Personal,1.0,MO
456,2015,8995,Prius Two,177291,"Accident check
1Accident reported",Personal,1.0,TX
457,2017,22490,Prius Two FWD,45233,"Accident check
No issues reported",Personal,1.0,IL
458,2018,24995,Prius Two FWD,34506,"Accident check
1Accident reported",Personal,1.0,LA
459,2016,16995,Prius Two FWD,110143,"Accident check
No issues reported",Personal,1.0,NC
460,2005,5950,Prius FWD,118672,"Accident check
No issues reported",Personal,2.0,NJ
461,2015,12795,Prius,149309,"Accident check
No issues reported",Personal,1.0,CA
462,2013,9900,Prius,146381,"Accident check
No issues reported",Personal,1.0,NJ
463,2008,7950,Prius Touring FWD,131245,"Accident check
No issues reported",Personal,2.0,CA
464,2015,13977,Prius Persona Series,140540,"Accident check
No issues reported",Personal,3.0,WA
465,2018,18995,Prius Two FWD,134391,"Accident check
No issues reported",Personal,2.0,WA
466,2017,17796,Prius Three FWD,108252,"Accident check
No issues reported",Commercial,1.0,CA
467,2010,7997,Prius,144272,"Accident check
No issues reported",Personal,2.0,MA
468,2018,16995,Prius,125033,"Accident check
No issues reported",Commercial,1.0,NC
469,2015,15990,Prius Four,101162,"Accident check
No issues reported",Personal,2.0,CA
470,2008,5990,Prius Liftback FWD,168000,"Accident check
No issues reported",Personal,1.0,CA
471,2010,7988,Prius,147050,"Accident check
No issues reported",Personal,1.0,CT
472,2013,10990,Prius Persona Series SE,145124,"Accident check
No issues reported",Personal,2.0,IL
473,2008,7995,Prius,111540,"Accident check
No issues reported",Personal,3.0,NC
474,2022,32988,Prius,2730,"Accident check
No issues reported",Personal,1.0,CA
475,2021,30988,Prius LE FWD,5712,"Accident check
No issues reported",Commercial,1.0,CA
476,2015,14999,Prius One,123327,"Accident check
1Accident reported",Personal,4.0,WA
477,2013,12822,Prius Two,96949,"Accident check
No issues reported",Personal,1.0,IA
478,2010,9299,Prius,148160,"Accident check
No issues reported",Personal,3.0,WA
480,2017,23997,Prius Two FWD,30057,"Accident check
No issues reported",Personal,2.0,CA
481,2009,7495,Prius,137656,"Accident check
No issues reported",Personal,2.0,WI
482,2018,26000,Prius Four FWD,36765,"Accident check
No issues reported",Personal,1.0,MI
483,2018,23999,Prius Four Touring FWD,55449,"Accident check
1Accident reported",Commercial,2.0,FL
484,2005,6000,Prius FWD,126000,"Accident check
No issues reported",Personal,3.0,MN
485,2015,18995,Prius Two,33344,"Accident check
1Accident reported",Personal,1.0,FL
486,2015,10869,Prius Persona Series,161065,"Accident check
No issues reported",Personal,2.0,PA
487,2015,22495,Prius Five,30692,"Accident check
No issues reported",Personal,2.0,CO
488,2010,8800,Prius,151663,"Accident check
No issues reported",Personal,4.0,MI
489,2016,21888,Prius Three FWD,58881,"Accident check
No issues reported",Personal,2.0,CA
490,2010,8495,Prius,145372,"Accident check
No issues reported",Personal,1.0,GA
491,2015,17980,Prius Persona Series,78494,"Accident check
1Accident reported",Personal,2.0,WA
492,2016,18480,Prius Two FWD,77992,"Accident check
1Accident reported",Personal,2.0,CT
493,2020,29250,Prius XLE FWD,23025,"Accident check
No issues reported",Personal,1.0,SC
494,2016,21750,Prius Two FWD,34933,"Accident check
No issues reported",Personal,1.0,TX
495,2015,16995,Prius Three,94098,"Accident check
No issues reported",Personal,2.0,OR
496,2008,6950,Prius Liftback FWD,184637,"Accident check
No issues reported",Personal,3.0,IL
497,2005,4895,Prius FWD,180000,"Accident check
No issues reported",Personal,3.0,GA
498,2010,8995,Prius,127578,"Accident check
2Accidents reported",Personal,3.0,SC
499,2008,6990,Prius,121113,"Accident check
No issues reported",Personal,2.0,TX
500,2016,18771,Prius Two FWD,82128,"Accident check
No issues reported",Personal,3.0,CA
501,2014,10995,Prius Two,150243,"Accident check
1Accident reported",Personal,1.0,NY
502,2010,12757,Prius,100423,"Accident check
No issues reported",Personal,1.0,OR
503,2011,10500,Prius,97999,"Accident check
No issues reported",Personal,3.0,TX
504,2008,6495,Prius,140598,"Accident check
1Accident reported",Personal,2.0,MA
505,2013,11999,Prius,140119,"Accident check
No issues reported",Personal,2.0,TN
507,2016,17999,Prius Two FWD,94920,"Accident check
No issues reported",Personal,1.0,CA
508,2009,6000,Prius Touring FWD,158371,"Accident check
No issues reported",Personal,2.0,TN
509,2014,14995,Prius Two,84809,"Accident check
No issues reported",Commercial,2.0,IL
510,2014,9995,Prius Five,171430,"Accident check
No issues reported",Personal,2.0,CA
511,2015,19991,Prius Persona Series,60803,"Accident check
No issues reported",Personal,2.0,OR
512,2010,9500,Prius,129574,"Accident check
No issues reported",Personal,2.0,PA
513,2018,22990,Prius Two FWD,61672,"Accident check
No issues reported",Personal,1.0,CA
514,2011,5994,Prius Two,186200,"Accident check
No issues reported",Personal,2.0,MA
515,2008,3999,Prius Liftback FWD,170006,"Accident check
1Accident reported",Personal,2.0,FL
516,2019,25888,Prius L Eco FWD,51681,"Accident check
No issues reported",Personal,1.0,CA
517,2014,11991,Prius Two,123371,"Accident check
1Accident reported",Personal,2.0,FL
518,2006,5999,Prius FWD,137403,"Accident check
No issues reported",Personal,4.0,ID
519,2021,31981,Prius 2020 Edition FWD,17590,"Accident check
No issues reported",Personal,1.0,CA
520,2013,10800,Prius One,108448,"Accident check
No issues reported",Commercial,4.0,FL
521,2019,27800,Prius LE FWD,14126,"Accident check
No issues reported",Personal,1.0,IL
522,2013,13995,Prius,112750,"Accident check
No issues reported",Personal,2.0,NM
525,2010,10999,Prius,116839,"Accident check
No issues reported",Personal,1.0,CA
526,2004,4999,Prius FWD,151309,"Accident check
2Accidents reported",Personal,3.0,VA
527,2010,7995,Prius,167100,"Accident check
No issues reported",Personal,2.0,CA
528,2013,15500,Prius Five,66705,"Accident check
No issues reported",Personal,2.0,MI
529,2005,5900,Prius FWD,107748,"Accident check
No issues reported",Personal,1.0,NJ
530,2010,10995,Prius Three,112867,"Accident check
No issues reported",Personal,1.0,NC
531,2009,7495,Prius Liftback FWD,114594,"Accident check
No issues reported",Personal,3.0,ID
532,2007,5995,Prius,153934,"Accident check
No issues reported",Personal,1.0,NC
533,2010,9300,Prius,147185,"Accident check
No issues reported",Commercial,2.0,WA
534,2016,17971,Prius Two FWD,96853,"Accident check
No issues reported",Personal,1.0,TX
535,2018,28997,Prius Four FWD,15951,"Accident check
No issues reported",Personal,1.0,CA
536,2013,7997,Prius Two,162835,"Accident check
No issues reported",Commercial,2.0,FL
537,2015,18595,Prius Persona Series,59544,"Accident check
No issues reported",Personal,1.0,MD
538,2010,11995,Prius,71622,"Accident check
No issues reported",Personal,2.0,PA
539,2011,7495,Prius,174650,"Accident check
No issues reported",Personal,1.0,VA
540,2013,12995,Prius Two,97451,"Accident check
No issues reported",Personal,1.0,IL
541,2015,16000,Prius Four,94801,"Accident check
No issues reported",Personal,1.0,VA
542,2010,8995,Prius,143198,"Accident check
No issues reported",Personal,3.0,CA
543,2010,10990,Prius,103235,"Accident check
No issues reported",Personal,1.0,GA
544,2004,4777,Prius FWD,185309,"Accident check
No issues reported",Personal,1.0,IL
545,2010,7995,Prius,155488,"Accident check
No issues reported",Personal,2.0,WI
546,2011,9950,Prius,135350,"Accident check
No issues reported",Personal,2.0,CA
547,2021,31313,Prius LE AWD-e,16246,"Accident check
No issues reported",Personal,1.0,WA
550,2012,9995,Prius,129907,"Accident check
No issues reported",Personal,1.0,NC
551,2010,8995,Prius Four,153607,"Accident check
No issues reported",Personal,3.0,VA
552,2018,24995,Prius,25905,"Accident check
No issues reported",Personal,1.0,VA
553,2005,4999,Prius FWD,177974,"Accident check
No issues reported",Personal,3.0,MN
554,2016,17481,Prius Four FWD,90949,"Accident check
No issues reported",Personal,2.0,FL
555,2012,6999,Prius,193120,"Accident check
No issues reported",Personal,1.0,NC
556,2012,13488,Prius Four,90069,"Accident check
No issues reported",Personal,1.0,TX
557,2012,10250,Prius Three,126003,"Accident check
No issues reported",Commercial,2.0,CA
558,2013,9750,Prius Four,132512,"Accident check
No issues reported",Personal,2.0,FL
559,2009,5990,Prius,146128,"Accident check
No issues reported",Personal,4.0,ND
560,2008,6900,Prius Liftback FWD,102931,"Accident check
No issues reported",Personal,2.0,PA
561,2008,7477,Prius Touring FWD,155809,"Accident check
No issues reported",Personal,3.0,CA
562,2015,12992,Prius Two,120065,"Accident check
No issues reported",Personal,1.0,FL
563,2013,11499,Prius,123731,"Accident check
No issues reported",Personal,2.0,VA
564,2010,8789,Prius,149967,"Accident check
No issues reported",Personal,1.0,CA
565,2013,10498,Prius Two,148096,"Accident check
No issues reported",Commercial,3.0,CA
566,2017,16995,Prius Two FWD,131760,"Accident check
No issues reported",Personal,3.0,CO
567,2017,22827,Prius Two FWD,51394,"Accident check
No issues reported",Personal,1.0,IN
568,2008,6995,Prius Touring FWD,166567,"Accident check
No issues reported",Personal,3.0,TX
569,2017,20175,Prius Three FWD,92350,"Accident check
No issues reported",Personal,1.0,IL
570,2019,27496,Prius LE FWD,17399,"Accident check
No issues reported",Personal,1.0,FL
571,2009,3700,Prius Touring FWD,238700,"Accident check
1Accident reported",Personal,3.0,GA
572,2007,7995,Prius,124695,"Accident check
No issues reported",Personal,2.0,IN
573,2019,28329,Prius L Eco FWD,2777,"Accident check
No issues reported",Personal,1.0,AZ
574,2017,24492,Prius Three Touring FWD,41471,"Accident check
No issues reported",Personal,1.0,MT
575,2018,21154,Prius Two FWD,70737,"Accident check
1Accident reported",Commercial,2.0,MD
576,2018,25000,Prius One FWD,16505,"Accident check
No issues reported",Personal,1.0,VA
577,2014,12400,Prius Three,124100,"Accident check
No issues reported",Personal,1.0,FL
578,2009,7995,Prius Touring FWD,101005,"Accident check
1Accident reported",Personal,2.0,NC
579,2008,5199,Prius Touring FWD,182674,"Accident check
No issues reported",Commercial,3.0,TN
580,2010,11999,Prius Four,89617,"Accident check
No issues reported",Personal,1.0,CA
581,2014,12950,Prius Two,130000,"Accident check
No issues reported",Personal,2.0,IL
582,2016,21498,Prius Three FWD,52009,"Accident check
No issues reported",Personal,1.0,CO
583,2015,18995,Prius Two,50638,"Accident check
No issues reported",Personal,1.0,MA
584,2011,7450,Prius Two,162413,"Accident check
No issues reported",Personal,4.0,NJ
585,2008,8999,Prius Liftback FWD,133000,"Accident check
No issues reported",Personal,1.0,CA
586,2021,30347,Prius LE FWD,3105,"Accident check
1Accident reported",Commercial,1.0,TX
587,2016,22948,Prius Two FWD,43737,"Accident check
No issues reported",Personal,1.0,WA
588,2018,24649,Prius Two FWD,39128,"Accident check
No issues reported",Personal,2.0,CA
589,2015,16990,Prius Two,87818,"Accident check
No issues reported",Personal,2.0,CA
590,2008,7500,Prius FWD,131053,"Accident check
2Accidents reported",Personal,3.0,GA
591,2014,16073,Prius Three,57449,"Accident check
No issues reported",Personal,1.0,WI
592,2016,15991,Prius Two Eco FWD,121507,"Accident check
1Accident reported",Personal,2.0,KY
593,2006,7495,Prius FWD,89217,"Accident check
2Accidents reported",Personal,1.0,PA
594,2008,5495,Prius,206311,"Accident check
2Accidents reported",Personal,2.0,WA
595,2012,12995,Prius Three,87495,"Accident check
No issues reported",Commercial,1.0,TX
596,2015,13500,Prius Four,154000,"Accident check
No issues reported",Personal,1.0,CA
597,2010,10450,Prius,101105,"Accident check
1Accident reported",Personal,2.0,PA
598,2018,13995,Prius Two FWD,157560,"Accident check
3Accidents reported",Commercial,1.0,CA
599,2012,8000,Prius Three,164000,"Accident check
No issues reported",Personal,3.0,MA
600,2015,18990,Prius Three,70375,"Accident check
No issues reported",Commercial,1.0,OR
601,2017,21756,Prius Four FWD,50805,"Accident check
No issues reported",Personal,1.0,TN
602,2018,19916,Prius Two FWD,96485,"Accident check
1Accident reported",Commercial,1.0,IN
603,2017,23500,Prius Four Touring FWD,52688,"Accident check
No issues reported",Personal,2.0,MI
604,2016,13775,Prius Two FWD,125000,"Accident check
1Accident reported",Personal,2.0,VT
605,2015,10995,Prius Persona Series,165871,"Accident check
No issues reported",Personal,4.0,MD
606,2009,6950,Prius,138327,"Accident check
No issues reported",Personal,3.0,CT
607,2011,7990,Prius,151903,"Accident check
No issues reported",Personal,2.0,TN
608,2005,4988,Prius FWD,167227,"Accident check
No issues reported",Personal,1.0,TX
609,2006,6999,Prius FWD,171000,"Accident check
No issues reported",Commercial,2.0,CA
610,2016,16577,Prius Two FWD,118919,"Accident check
No issues reported",Personal,1.0,TX
611,2009,4999,Prius Touring FWD,139582,"Accident check
1Accident reported",Commercial,3.0,FL
612,2021,30997,Prius LE AWD-e,17182,"Accident check
No issues reported",Personal,1.0,WA
613,2016,16999,Prius,124578,"Accident check
No issues reported",Personal,2.0,CA
614,2017,22111,Prius Two FWD,64441,"Accident check
No issues reported",Personal,2.0,CA
615,2012,10088,Prius Two,156182,"Accident check
No issues reported",Personal,2.0,MN
616,2016,12800,Prius Two FWD,165000,"Accident check
No issues reported",Personal,2.0,NC
617,2010,9995,Prius,104040,"Accident check
No issues reported",Personal,2.0,NH
618,2019,27399,Prius LE FWD,22348,"Accident check
No issues reported",Personal,1.0,CA
619,2014,13900,Prius Two,113915,"Accident check
No issues reported",Personal,3.0,GA
620,2017,23295,Prius,43445,"Accident check
No issues reported",Personal,1.0,NY
621,2010,7440,Prius,192721,"Accident check
No issues reported",Personal,1.0,IN
622,2008,5495,Prius Touring FWD,174930,"Accident check
1Accident reported",Personal,1.0,MN
623,2020,32000,Prius Limited FWD,39770,"Accident check
No issues reported",Personal,1.0,CA
624,2014,14300,Prius Two,94580,"Accident check
No issues reported",Commercial,2.0,MD
625,2010,9500,Prius,110394,"Accident check
1Accident reported",Personal,1.0,TX
626,2010,10900,Prius,107892,"Accident check
No issues reported",Personal,2.0,OH
627,2015,17500,Prius Persona Series,77762,"Accident check
No issues reported",Personal,1.0,VA
628,2009,7997,Prius,122395,"Accident check
1Accident reported",Personal,1.0,MN
629,2015,14000,Prius Four,138764,"Accident check
No issues reported",Personal,2.0,IN
630,2007,5500,Prius Touring FWD,182000,"Accident check
No issues reported",Personal,3.0,NC
631,2011,10990,Prius,98207,"Accident check
No issues reported",Personal,2.0,NC
632,2009,6495,Prius Liftback FWD,138700,"Accident check
3Accidents reported",Personal,1.0,NJ
633,2008,4984,Prius,216701,"Accident check
2Accidents reported",Personal,2.0,MO
634,2017,21900,Prius One FWD,34937,"Accident check
No issues reported",Personal,1.0,AZ
635,2019,25900,Prius XLE FWD,54097,"Accident check
No issues reported",Personal,1.0,SC
636,2020,26500,Prius,40481,"Accident check
No issues reported",Personal,1.0,IA
637,2010,7999,Prius,156890,"Accident check
No issues reported",Personal,2.0,MA
638,2018,26998,Prius Two FWD,30270,"Accident check
No issues reported",Personal,1.0,CA
639,2016,21998,Prius Two Eco FWD,44251,"Accident check
No issues reported",Personal,3.0,WA
640,2010,8960,Prius,142211,"Accident check
No issues reported",Personal,1.0,IL
641,2006,4999,Prius FWD,153358,"Accident check
1Accident reported",Commercial,3.0,SC
642,2016,19950,Prius Four FWD,83722,"Accident check
No issues reported",Personal,2.0,CA
643,2006,4900,Prius FWD,201000,"Accident check
No issues reported",Personal,2.0,OR
644,2019,28891,Prius L Eco FWD,7692,"Accident check
No issues reported",Personal,1.0,CA
645,2008,6100,Prius Touring FWD,146850,"Accident check
1Accident reported",Personal,2.0,VA
646,2011,6495,Prius,204685,"Accident check
No issues reported",Personal,2.0,TX
647,2013,18977,Prius Four,20985,"Accident check
No issues reported",Personal,1.0,TX
648,2010,10995,Prius,120420,"Accident check
No issues reported",Personal,2.0,CA
649,2010,9991,Prius,133683,"Accident check
No issues reported",Personal,2.0,CA
650,2006,5495,Prius FWD,145673,"Accident check
No issues reported",Personal,1.0,OH
651,2018,27184,Prius Four FWD,30888,"Accident check
No issues reported",Personal,1.0,AZ
652,2020,29327,Prius LE FWD,12941,"Accident check
No issues reported",Personal,2.0,CT
653,2009,7777,Prius,165057,"Accident check
No issues reported",Personal,3.0,CA
654,2011,8995,Prius One,130800,"Accident check
1Accident reported",Personal,2.0,CA
655,2015,20000,Prius Two,39201,"Accident check
No issues reported",Personal,2.0,VA
656,2010,8511,Prius,149863,"Accident check
No issues reported",Personal,3.0,NC
657,2010,8995,Prius Four,136612,"Accident check
No issues reported",Personal,2.0,RI
658,2011,9300,Prius Two,142820,"Accident check
No issues reported",Personal,4.0,CA
659,2019,26998,Prius LE FWD,26062,"Accident check
No issues reported",Personal,2.0,FL
660,2019,23494,Prius LE FWD,84912,"Accident check
No issues reported",Personal,1.0,CA
661,2015,14880,Prius Persona Series,118754,"Accident check
No issues reported",Personal,1.0,WI
663,2015,13995,Prius Persona Series,109636,"Accident check
1Accident reported",Commercial,2.0,MA
664,2015,10950,Prius Four,169120,"Accident check
No issues reported",Personal,1.0,NY
665,2009,9100,Prius,88862,"Accident check
No issues reported",Personal,1.0,NY
666,2015,18995,Prius Persona Series,67588,"Accident check
No issues reported",Personal,1.0,CA
667,2020,30981,Prius LE FWD,10822,"Accident check
No issues reported",Personal,1.0,CA
668,2005,3700,Prius FWD,224000,"Accident check
No issues reported",Personal,1.0,NC
669,2018,24995,Prius Three Touring FWD,45625,"Accident check
1Accident reported",Personal,1.0,CA
670,2020,27498,Prius LE FWD,22616,"Accident check
No issues reported",Personal,1.0,UT
671,2021,31700,Prius LE AWD-e,9715,"Accident check
No issues reported",Personal,1.0,OR
672,2011,12999,Prius Two,69606,"Accident check
No issues reported",Personal,1.0,WV
673,2011,7495,Prius Two,159936,"Accident check
No issues reported",Personal,2.0,MA
674,2017,25894,Prius Four FWD,26552,"Accident check
No issues reported",Personal,1.0,AZ
675,2015,19750,Prius Persona Series,33000,"Accident check
No issues reported",Personal,2.0,CA
676,2009,5950,Prius Touring FWD,159414,"Accident check
No issues reported",Personal,5.0,TX
677,2016,22900,Prius Four FWD,19000,"Accident check
No issues reported",Personal,1.0,FL
678,2010,9950,Prius,123254,"Accident check
No issues reported",Personal,1.0,TX
679,2013,13950,Prius Three,101877,"Accident check
No issues reported",Commercial,2.0,CA
680,2018,24500,Prius Two FWD,55829,"Accident check
No issues reported",Personal,2.0,IN
681,2010,10400,Prius,122124,"Accident check
1Accident reported",Personal,2.0,WA
682,2012,11495,Prius Four,127861,"Accident check
No issues reported",Personal,1.0,NY
683,2010,6499,Prius,188600,"Accident check
No issues reported",Personal,2.0,NH
684,2012,7995,Prius Two,176389,"Accident check
No issues reported",Personal,1.0,UT
685,2010,11995,Prius,71342,"Accident check
1Accident reported",Personal,2.0,OH
686,2014,15498,Prius Two,59435,"Accident check
No issues reported",Personal,1.0,FL
687,2008,8999,Prius,115227,"Accident check
No issues reported",Personal,6.0,CA
688,2013,12701,Prius Three,104101,"Accident check
No issues reported",Personal,2.0,TX
690,2017,17995,Prius Two FWD,108925,"Accident check
No issues reported",Personal,1.0,UT
691,2015,19255,Prius Two,50872,"Accident check
No issues reported",Personal,4.0,VA
692,2006,4900,Prius FWD,200443,"Accident check
No issues reported",Personal,2.0,MN
